m1,m2,initial_period_in_days
7.0,2.8,1.0
7.0,2.8,1.1787686347935873
7.0,2.8,1.3894954943731377
7.0,2.8,1.637893706954064
7.0,2.8,1.93069772888325
7.0,2.8,2.2758459260747883
7.0,2.8,2.6826957952797255
7.0,2.8,3.1622776601683795
7.0,2.8,3.72759372031494
7.0,2.8,4.39397056076079
7.0,2.8,5.17947467923121
7.0,2.8,6.1054022965853285
7.0,2.8,7.196856730011519
7.0,2.8,8.483428982440719
7.0,2.8,10.0
7.0,2.8,11.787686347935873
7.0,2.8,13.894954943731374
7.0,2.8,16.378937069540637
7.0,2.8,19.306977288832496
7.0,2.8,22.758459260747877
7.0,2.8,26.826957952797247
7.0,2.8,31.622776601683793
7.0,2.8,37.2759372031494
7.0,2.8,43.939705607607905
7.0,2.8,51.7947467923121
7.0,2.8,61.054022965853264
7.0,2.8,71.96856730011518
7.0,2.8,84.83428982440716
7.0,2.8,100.0
7.0,2.8,117.87686347935866
7.0,2.8,138.94954943731375
7.0,2.8,163.7893706954063
7.0,2.8,193.06977288832496
7.0,2.8,227.58459260747887
7.0,2.8,268.26957952797244
7.0,2.8,316.22776601683796
7.0,2.8,372.7593720314938
7.0,2.8,439.397056076079
7.0,2.8,517.9474679231207
7.0,2.8,610.5402296585327
7.0,2.8,719.6856730011514
7.0,2.8,848.3428982440716
7.0,2.8,1000.0
7.0,2.8,1178.7686347935867
7.0,2.8,1389.4954943731375
7.0,2.8,1637.893706954063
7.0,2.8,1930.6977288832495
7.0,2.8,2275.8459260747863
7.0,2.8,2682.6957952797247
7.0,2.8,3162.2776601683795
7.417941628613578,2.9671766514454307,1.0
7.417941628613578,2.9671766514454307,1.1787686347935873
7.417941628613578,2.9671766514454307,1.3894954943731377
7.417941628613578,2.9671766514454307,1.637893706954064
7.417941628613578,2.9671766514454307,1.93069772888325
7.417941628613578,2.9671766514454307,2.2758459260747883
7.417941628613578,2.9671766514454307,2.6826957952797255
7.417941628613578,2.9671766514454307,3.1622776601683795
7.417941628613578,2.9671766514454307,3.72759372031494
7.417941628613578,2.9671766514454307,4.39397056076079
7.417941628613578,2.9671766514454307,5.17947467923121
7.417941628613578,2.9671766514454307,6.1054022965853285
7.417941628613578,2.9671766514454307,7.196856730011519
7.417941628613578,2.9671766514454307,8.483428982440719
7.417941628613578,2.9671766514454307,10.0
7.417941628613578,2.9671766514454307,11.787686347935873
7.417941628613578,2.9671766514454307,13.894954943731374
7.417941628613578,2.9671766514454307,16.378937069540637
7.417941628613578,2.9671766514454307,19.306977288832496
7.417941628613578,2.9671766514454307,22.758459260747877
7.417941628613578,2.9671766514454307,26.826957952797247
7.417941628613578,2.9671766514454307,31.622776601683793
7.417941628613578,2.9671766514454307,37.2759372031494
7.417941628613578,2.9671766514454307,43.939705607607905
7.417941628613578,2.9671766514454307,51.7947467923121
7.417941628613578,2.9671766514454307,61.054022965853264
7.417941628613578,2.9671766514454307,71.96856730011518
7.417941628613578,2.9671766514454307,84.83428982440716
7.417941628613578,2.9671766514454307,100.0
7.417941628613578,2.9671766514454307,117.87686347935866
7.417941628613578,2.9671766514454307,138.94954943731375
7.417941628613578,2.9671766514454307,163.7893706954063
7.417941628613578,2.9671766514454307,193.06977288832496
7.417941628613578,2.9671766514454307,227.58459260747887
7.417941628613578,2.9671766514454307,268.26957952797244
7.417941628613578,2.9671766514454307,316.22776601683796
7.417941628613578,2.9671766514454307,372.7593720314938
7.417941628613578,2.9671766514454307,439.397056076079
7.417941628613578,2.9671766514454307,517.9474679231207
7.417941628613578,2.9671766514454307,610.5402296585327
7.417941628613578,2.9671766514454307,719.6856730011514
7.417941628613578,2.9671766514454307,848.3428982440716
7.417941628613578,2.9671766514454307,1000.0
7.417941628613578,2.9671766514454307,1178.7686347935867
7.417941628613578,2.9671766514454307,1389.4954943731375
7.417941628613578,2.9671766514454307,1637.893706954063
7.417941628613578,2.9671766514454307,1930.6977288832495
7.417941628613578,2.9671766514454307,2275.8459260747863
7.417941628613578,2.9671766514454307,2682.6957952797247
7.417941628613578,2.9671766514454307,3162.2776601683795
7.860836857931178,3.144334743172471,1.0
7.860836857931178,3.144334743172471,1.1787686347935873
7.860836857931178,3.144334743172471,1.3894954943731377
7.860836857931178,3.144334743172471,1.637893706954064
7.860836857931178,3.144334743172471,1.93069772888325
7.860836857931178,3.144334743172471,2.2758459260747883
7.860836857931178,3.144334743172471,2.6826957952797255
7.860836857931178,3.144334743172471,3.1622776601683795
7.860836857931178,3.144334743172471,3.72759372031494
7.860836857931178,3.144334743172471,4.39397056076079
7.860836857931178,3.144334743172471,5.17947467923121
7.860836857931178,3.144334743172471,6.1054022965853285
7.860836857931178,3.144334743172471,7.196856730011519
7.860836857931178,3.144334743172471,8.483428982440719
7.860836857931178,3.144334743172471,10.0
7.860836857931178,3.144334743172471,11.787686347935873
7.860836857931178,3.144334743172471,13.894954943731374
7.860836857931178,3.144334743172471,16.378937069540637
7.860836857931178,3.144334743172471,19.306977288832496
7.860836857931178,3.144334743172471,22.758459260747877
7.860836857931178,3.144334743172471,26.826957952797247
7.860836857931178,3.144334743172471,31.622776601683793
7.860836857931178,3.144334743172471,37.2759372031494
7.860836857931178,3.144334743172471,43.939705607607905
7.860836857931178,3.144334743172471,51.7947467923121
7.860836857931178,3.144334743172471,61.054022965853264
7.860836857931178,3.144334743172471,71.96856730011518
7.860836857931178,3.144334743172471,84.83428982440716
7.860836857931178,3.144334743172471,100.0
7.860836857931178,3.144334743172471,117.87686347935866
7.860836857931178,3.144334743172471,138.94954943731375
7.860836857931178,3.144334743172471,163.7893706954063
7.860836857931178,3.144334743172471,193.06977288832496
7.860836857931178,3.144334743172471,227.58459260747887
7.860836857931178,3.144334743172471,268.26957952797244
7.860836857931178,3.144334743172471,316.22776601683796
7.860836857931178,3.144334743172471,372.7593720314938
7.860836857931178,3.144334743172471,439.397056076079
7.860836857931178,3.144334743172471,517.9474679231207
7.860836857931178,3.144334743172471,610.5402296585327
7.860836857931178,3.144334743172471,719.6856730011514
7.860836857931178,3.144334743172471,848.3428982440716
7.860836857931178,3.144334743172471,1000.0
7.860836857931178,3.144334743172471,1178.7686347935867
7.860836857931178,3.144334743172471,1389.4954943731375
7.860836857931178,3.144334743172471,1637.893706954063
7.860836857931178,3.144334743172471,1930.6977288832495
7.860836857931178,3.144334743172471,2275.8459260747863
7.860836857931178,3.144334743172471,2682.6957952797247
7.860836857931178,3.144334743172471,3162.2776601683795
8.330175566312521,3.332070226525008,1.0
8.330175566312521,3.332070226525008,1.1787686347935873
8.330175566312521,3.332070226525008,1.3894954943731377
8.330175566312521,3.332070226525008,1.637893706954064
8.330175566312521,3.332070226525008,1.93069772888325
8.330175566312521,3.332070226525008,2.2758459260747883
8.330175566312521,3.332070226525008,2.6826957952797255
8.330175566312521,3.332070226525008,3.1622776601683795
8.330175566312521,3.332070226525008,3.72759372031494
8.330175566312521,3.332070226525008,4.39397056076079
8.330175566312521,3.332070226525008,5.17947467923121
8.330175566312521,3.332070226525008,6.1054022965853285
8.330175566312521,3.332070226525008,7.196856730011519
8.330175566312521,3.332070226525008,8.483428982440719
8.330175566312521,3.332070226525008,10.0
8.330175566312521,3.332070226525008,11.787686347935873
8.330175566312521,3.332070226525008,13.894954943731374
8.330175566312521,3.332070226525008,16.378937069540637
8.330175566312521,3.332070226525008,19.306977288832496
8.330175566312521,3.332070226525008,22.758459260747877
8.330175566312521,3.332070226525008,26.826957952797247
8.330175566312521,3.332070226525008,31.622776601683793
8.330175566312521,3.332070226525008,37.2759372031494
8.330175566312521,3.332070226525008,43.939705607607905
8.330175566312521,3.332070226525008,51.7947467923121
8.330175566312521,3.332070226525008,61.054022965853264
8.330175566312521,3.332070226525008,71.96856730011518
8.330175566312521,3.332070226525008,84.83428982440716
8.330175566312521,3.332070226525008,100.0
8.330175566312521,3.332070226525008,117.87686347935866
8.330175566312521,3.332070226525008,138.94954943731375
8.330175566312521,3.332070226525008,163.7893706954063
8.330175566312521,3.332070226525008,193.06977288832496
8.330175566312521,3.332070226525008,227.58459260747887
8.330175566312521,3.332070226525008,268.26957952797244
8.330175566312521,3.332070226525008,316.22776601683796
8.330175566312521,3.332070226525008,372.7593720314938
8.330175566312521,3.332070226525008,439.397056076079
8.330175566312521,3.332070226525008,517.9474679231207
8.330175566312521,3.332070226525008,610.5402296585327
8.330175566312521,3.332070226525008,719.6856730011514
8.330175566312521,3.332070226525008,848.3428982440716
8.330175566312521,3.332070226525008,1000.0
8.330175566312521,3.332070226525008,1178.7686347935867
8.330175566312521,3.332070226525008,1389.4954943731375
8.330175566312521,3.332070226525008,1637.893706954063
8.330175566312521,3.332070226525008,1930.6977288832495
8.330175566312521,3.332070226525008,2275.8459260747863
8.330175566312521,3.332070226525008,2682.6957952797247
8.330175566312521,3.332070226525008,3162.2776601683795
8.827536586715619,3.531014634686247,1.0
8.827536586715619,3.531014634686247,1.1787686347935873
8.827536586715619,3.531014634686247,1.3894954943731377
8.827536586715619,3.531014634686247,1.637893706954064
8.827536586715619,3.531014634686247,1.93069772888325
8.827536586715619,3.531014634686247,2.2758459260747883
8.827536586715619,3.531014634686247,2.6826957952797255
8.827536586715619,3.531014634686247,3.1622776601683795
8.827536586715619,3.531014634686247,3.72759372031494
8.827536586715619,3.531014634686247,4.39397056076079
8.827536586715619,3.531014634686247,5.17947467923121
8.827536586715619,3.531014634686247,6.1054022965853285
8.827536586715619,3.531014634686247,7.196856730011519
8.827536586715619,3.531014634686247,8.483428982440719
8.827536586715619,3.531014634686247,10.0
8.827536586715619,3.531014634686247,11.787686347935873
8.827536586715619,3.531014634686247,13.894954943731374
8.827536586715619,3.531014634686247,16.378937069540637
8.827536586715619,3.531014634686247,19.306977288832496
8.827536586715619,3.531014634686247,22.758459260747877
8.827536586715619,3.531014634686247,26.826957952797247
8.827536586715619,3.531014634686247,31.622776601683793
8.827536586715619,3.531014634686247,37.2759372031494
8.827536586715619,3.531014634686247,43.939705607607905
8.827536586715619,3.531014634686247,51.7947467923121
8.827536586715619,3.531014634686247,61.054022965853264
8.827536586715619,3.531014634686247,71.96856730011518
8.827536586715619,3.531014634686247,84.83428982440716
8.827536586715619,3.531014634686247,100.0
8.827536586715619,3.531014634686247,117.87686347935866
8.827536586715619,3.531014634686247,138.94954943731375
8.827536586715619,3.531014634686247,163.7893706954063
8.827536586715619,3.531014634686247,193.06977288832496
8.827536586715619,3.531014634686247,227.58459260747887
8.827536586715619,3.531014634686247,268.26957952797244
8.827536586715619,3.531014634686247,316.22776601683796
8.827536586715619,3.531014634686247,372.7593720314938
8.827536586715619,3.531014634686247,439.397056076079
8.827536586715619,3.531014634686247,517.9474679231207
8.827536586715619,3.531014634686247,610.5402296585327
8.827536586715619,3.531014634686247,719.6856730011514
8.827536586715619,3.531014634686247,848.3428982440716
8.827536586715619,3.531014634686247,1000.0
8.827536586715619,3.531014634686247,1178.7686347935867
8.827536586715619,3.531014634686247,1389.4954943731375
8.827536586715619,3.531014634686247,1637.893706954063
8.827536586715619,3.531014634686247,1930.6977288832495
8.827536586715619,3.531014634686247,2275.8459260747863
8.827536586715619,3.531014634686247,2682.6957952797247
8.827536586715619,3.531014634686247,3162.2776601683795
9.354593017815315,3.7418372071261254,1.0
9.354593017815315,3.7418372071261254,1.1787686347935873
9.354593017815315,3.7418372071261254,1.3894954943731377
9.354593017815315,3.7418372071261254,1.637893706954064
9.354593017815315,3.7418372071261254,1.93069772888325
9.354593017815315,3.7418372071261254,2.2758459260747883
9.354593017815315,3.7418372071261254,2.6826957952797255
9.354593017815315,3.7418372071261254,3.1622776601683795
9.354593017815315,3.7418372071261254,3.72759372031494
9.354593017815315,3.7418372071261254,4.39397056076079
9.354593017815315,3.7418372071261254,5.17947467923121
9.354593017815315,3.7418372071261254,6.1054022965853285
9.354593017815315,3.7418372071261254,7.196856730011519
9.354593017815315,3.7418372071261254,8.483428982440719
9.354593017815315,3.7418372071261254,10.0
9.354593017815315,3.7418372071261254,11.787686347935873
9.354593017815315,3.7418372071261254,13.894954943731374
9.354593017815315,3.7418372071261254,16.378937069540637
