m1,m2,initial_period_in_days
7.0,1.05,1.0
7.0,1.05,1.1787686347935873
7.0,1.05,1.3894954943731377
7.0,1.05,1.637893706954064
7.0,1.05,1.93069772888325
7.0,1.05,2.2758459260747883
7.0,1.05,2.6826957952797255
7.0,1.05,3.1622776601683795
7.0,1.05,3.72759372031494
7.0,1.05,4.39397056076079
7.0,1.05,5.17947467923121
7.0,1.05,6.1054022965853285
7.0,1.05,7.196856730011519
7.0,1.05,8.483428982440719
7.0,1.05,10.0
7.0,1.05,11.787686347935873
7.0,1.05,13.894954943731374
7.0,1.05,16.378937069540637
7.0,1.05,19.306977288832496
7.0,1.05,22.758459260747877
7.0,1.05,26.826957952797247
7.0,1.05,31.622776601683793
7.0,1.05,37.2759372031494
7.0,1.05,43.939705607607905
7.0,1.05,51.7947467923121
7.0,1.05,61.054022965853264
7.0,1.05,71.96856730011518
7.0,1.05,84.83428982440716
7.0,1.05,100.0
7.0,1.05,117.87686347935866
7.0,1.05,138.94954943731375
7.0,1.05,163.7893706954063
7.0,1.05,193.06977288832496
7.0,1.05,227.58459260747887
7.0,1.05,268.26957952797244
7.0,1.05,316.22776601683796
7.0,1.05,372.7593720314938
7.0,1.05,439.3970560760791
7.0,1.05,517.9474679231207
7.0,1.05,610.5402296585327
7.0,1.05,719.6856730011514
7.0,1.05,848.3428982440716
7.0,1.05,1000.0
7.0,1.05,1178.7686347935867
7.0,1.05,1389.4954943731375
7.0,1.05,1637.893706954063
7.0,1.05,1930.6977288832495
7.0,1.05,2275.8459260747863
7.0,1.05,2682.6957952797247
7.0,1.05,3162.2776601683795
7.417941628613578,1.1126912442920367,1.0
7.417941628613578,1.1126912442920367,1.1787686347935873
7.417941628613578,1.1126912442920367,1.3894954943731377
7.417941628613578,1.1126912442920367,1.637893706954064
7.417941628613578,1.1126912442920367,1.93069772888325
7.417941628613578,1.1126912442920367,2.2758459260747883
7.417941628613578,1.1126912442920367,2.6826957952797255
7.417941628613578,1.1126912442920367,3.1622776601683795
7.417941628613578,1.1126912442920367,3.72759372031494
7.417941628613578,1.1126912442920367,4.39397056076079
7.417941628613578,1.1126912442920367,5.17947467923121
7.417941628613578,1.1126912442920367,6.1054022965853285
7.417941628613578,1.1126912442920367,7.196856730011519
7.417941628613578,1.1126912442920367,8.483428982440719
7.417941628613578,1.1126912442920367,10.0
7.417941628613578,1.1126912442920367,11.787686347935873
7.417941628613578,1.1126912442920367,13.894954943731374
7.417941628613578,1.1126912442920367,16.378937069540637
7.417941628613578,1.1126912442920367,19.306977288832496
7.417941628613578,1.1126912442920367,22.758459260747877
7.417941628613578,1.1126912442920367,26.826957952797247
7.417941628613578,1.1126912442920367,31.622776601683793
7.417941628613578,1.1126912442920367,37.2759372031494
7.417941628613578,1.1126912442920367,43.939705607607905
7.417941628613578,1.1126912442920367,51.7947467923121
7.417941628613578,1.1126912442920367,61.054022965853264
7.417941628613578,1.1126912442920367,71.96856730011518
7.417941628613578,1.1126912442920367,84.83428982440716
7.417941628613578,1.1126912442920367,100.0
7.417941628613578,1.1126912442920367,117.87686347935866
7.417941628613578,1.1126912442920367,138.94954943731375
7.417941628613578,1.1126912442920367,163.7893706954063
7.417941628613578,1.1126912442920367,193.06977288832496
7.417941628613578,1.1126912442920367,227.58459260747887
7.417941628613578,1.1126912442920367,268.26957952797244
7.417941628613578,1.1126912442920367,316.22776601683796
7.417941628613578,1.1126912442920367,372.7593720314938
7.417941628613578,1.1126912442920367,439.3970560760791
7.417941628613578,1.1126912442920367,517.9474679231207
7.417941628613578,1.1126912442920367,610.5402296585327
7.417941628613578,1.1126912442920367,719.6856730011514
7.417941628613578,1.1126912442920367,848.3428982440716
7.417941628613578,1.1126912442920367,1000.0
7.417941628613578,1.1126912442920367,1178.7686347935867
7.417941628613578,1.1126912442920367,1389.4954943731375
7.417941628613578,1.1126912442920367,1637.893706954063
7.417941628613578,1.1126912442920367,1930.6977288832495
7.417941628613578,1.1126912442920367,2275.8459260747863
7.417941628613578,1.1126912442920367,2682.6957952797247
7.417941628613578,1.1126912442920367,3162.2776601683795
7.860836857931178,1.1791255286896767,1.0
7.860836857931178,1.1791255286896767,1.1787686347935873
7.860836857931178,1.1791255286896767,1.3894954943731377
7.860836857931178,1.1791255286896767,1.637893706954064
7.860836857931178,1.1791255286896767,1.93069772888325
7.860836857931178,1.1791255286896767,2.2758459260747883
7.860836857931178,1.1791255286896767,2.6826957952797255
7.860836857931178,1.1791255286896767,3.1622776601683795
7.860836857931178,1.1791255286896767,3.72759372031494
7.860836857931178,1.1791255286896767,4.39397056076079
7.860836857931178,1.1791255286896767,5.17947467923121
7.860836857931178,1.1791255286896767,6.1054022965853285
7.860836857931178,1.1791255286896767,7.196856730011519
7.860836857931178,1.1791255286896767,8.483428982440719
7.860836857931178,1.1791255286896767,10.0
7.860836857931178,1.1791255286896767,11.787686347935873
7.860836857931178,1.1791255286896767,13.894954943731374
7.860836857931178,1.1791255286896767,16.378937069540637
7.860836857931178,1.1791255286896767,19.306977288832496
7.860836857931178,1.1791255286896767,22.758459260747877
7.860836857931178,1.1791255286896767,26.826957952797247
7.860836857931178,1.1791255286896767,31.622776601683793
7.860836857931178,1.1791255286896767,37.2759372031494
7.860836857931178,1.1791255286896767,43.939705607607905
7.860836857931178,1.1791255286896767,51.7947467923121
7.860836857931178,1.1791255286896767,61.054022965853264
7.860836857931178,1.1791255286896767,71.96856730011518
7.860836857931178,1.1791255286896767,84.83428982440716
7.860836857931178,1.1791255286896767,100.0
7.860836857931178,1.1791255286896767,117.87686347935866
7.860836857931178,1.1791255286896767,138.94954943731375
7.860836857931178,1.1791255286896767,163.7893706954063
7.860836857931178,1.1791255286896767,193.06977288832496
7.860836857931178,1.1791255286896767,227.58459260747887
7.860836857931178,1.1791255286896767,268.26957952797244
7.860836857931178,1.1791255286896767,316.22776601683796
7.860836857931178,1.1791255286896767,372.7593720314938
7.860836857931178,1.1791255286896767,439.3970560760791
7.860836857931178,1.1791255286896767,517.9474679231207
7.860836857931178,1.1791255286896767,610.5402296585327
7.860836857931178,1.1791255286896767,719.6856730011514
7.860836857931178,1.1791255286896767,848.3428982440716
7.860836857931178,1.1791255286896767,1000.0
7.860836857931178,1.1791255286896767,1178.7686347935867
7.860836857931178,1.1791255286896767,1389.4954943731375
7.860836857931178,1.1791255286896767,1637.893706954063
7.860836857931178,1.1791255286896767,1930.6977288832495
7.860836857931178,1.1791255286896767,2275.8459260747863
7.860836857931178,1.1791255286896767,2682.6957952797247
7.860836857931178,1.1791255286896767,3162.2776601683795
8.330175566312521,1.2495263349468781,1.0
8.330175566312521,1.2495263349468781,1.1787686347935873
8.330175566312521,1.2495263349468781,1.3894954943731377
8.330175566312521,1.2495263349468781,1.637893706954064
8.330175566312521,1.2495263349468781,1.93069772888325
8.330175566312521,1.2495263349468781,2.2758459260747883
8.330175566312521,1.2495263349468781,2.6826957952797255
8.330175566312521,1.2495263349468781,3.1622776601683795
8.330175566312521,1.2495263349468781,3.72759372031494
8.330175566312521,1.2495263349468781,4.39397056076079
8.330175566312521,1.2495263349468781,5.17947467923121
8.330175566312521,1.2495263349468781,6.1054022965853285
8.330175566312521,1.2495263349468781,7.196856730011519
8.330175566312521,1.2495263349468781,8.483428982440719
8.330175566312521,1.2495263349468781,10.0
8.330175566312521,1.2495263349468781,11.787686347935873
8.330175566312521,1.2495263349468781,13.894954943731374
8.330175566312521,1.2495263349468781,16.378937069540637
8.330175566312521,1.2495263349468781,19.306977288832496
8.330175566312521,1.2495263349468781,22.758459260747877
8.330175566312521,1.2495263349468781,26.826957952797247
8.330175566312521,1.2495263349468781,31.622776601683793
8.330175566312521,1.2495263349468781,37.2759372031494
8.330175566312521,1.2495263349468781,43.939705607607905
8.330175566312521,1.2495263349468781,51.7947467923121
8.330175566312521,1.2495263349468781,61.054022965853264
8.330175566312521,1.2495263349468781,71.96856730011518
8.330175566312521,1.2495263349468781,84.83428982440716
8.330175566312521,1.2495263349468781,100.0
8.330175566312521,1.2495263349468781,117.87686347935866
8.330175566312521,1.2495263349468781,138.94954943731375
8.330175566312521,1.2495263349468781,163.7893706954063
8.330175566312521,1.2495263349468781,193.06977288832496
8.330175566312521,1.2495263349468781,227.58459260747887
8.330175566312521,1.2495263349468781,268.26957952797244
8.330175566312521,1.2495263349468781,316.22776601683796
8.330175566312521,1.2495263349468781,372.7593720314938
8.330175566312521,1.2495263349468781,439.3970560760791
8.330175566312521,1.2495263349468781,517.9474679231207
8.330175566312521,1.2495263349468781,610.5402296585327
8.330175566312521,1.2495263349468781,719.6856730011514
8.330175566312521,1.2495263349468781,848.3428982440716
8.330175566312521,1.2495263349468781,1000.0
8.330175566312521,1.2495263349468781,1178.7686347935867
8.330175566312521,1.2495263349468781,1389.4954943731375
8.330175566312521,1.2495263349468781,1637.893706954063
8.330175566312521,1.2495263349468781,1930.6977288832495
8.330175566312521,1.2495263349468781,2275.8459260747863
8.330175566312521,1.2495263349468781,2682.6957952797247
8.330175566312521,1.2495263349468781,3162.2776601683795
8.827536586715619,1.3241304880073428,1.0
8.827536586715619,1.3241304880073428,1.1787686347935873
8.827536586715619,1.3241304880073428,1.3894954943731377
8.827536586715619,1.3241304880073428,1.637893706954064
8.827536586715619,1.3241304880073428,1.93069772888325
8.827536586715619,1.3241304880073428,2.2758459260747883
8.827536586715619,1.3241304880073428,2.6826957952797255
8.827536586715619,1.3241304880073428,3.1622776601683795
8.827536586715619,1.3241304880073428,3.72759372031494
8.827536586715619,1.3241304880073428,4.39397056076079
8.827536586715619,1.3241304880073428,5.17947467923121
8.827536586715619,1.3241304880073428,6.1054022965853285
8.827536586715619,1.3241304880073428,7.196856730011519
8.827536586715619,1.3241304880073428,8.483428982440719
8.827536586715619,1.3241304880073428,10.0
8.827536586715619,1.3241304880073428,11.787686347935873
8.827536586715619,1.3241304880073428,13.894954943731374
8.827536586715619,1.3241304880073428,16.378937069540637
8.827536586715619,1.3241304880073428,19.306977288832496
8.827536586715619,1.3241304880073428,22.758459260747877
8.827536586715619,1.3241304880073428,26.826957952797247
8.827536586715619,1.3241304880073428,31.622776601683793
8.827536586715619,1.3241304880073428,37.2759372031494
8.827536586715619,1.3241304880073428,43.939705607607905
8.827536586715619,1.3241304880073428,51.7947467923121
8.827536586715619,1.3241304880073428,61.054022965853264
8.827536586715619,1.3241304880073428,71.96856730011518
8.827536586715619,1.3241304880073428,84.83428982440716
8.827536586715619,1.3241304880073428,100.0
8.827536586715619,1.3241304880073428,117.87686347935866
8.827536586715619,1.3241304880073428,138.94954943731375
8.827536586715619,1.3241304880073428,163.7893706954063
8.827536586715619,1.3241304880073428,193.06977288832496
8.827536586715619,1.3241304880073428,227.58459260747887
8.827536586715619,1.3241304880073428,268.26957952797244
8.827536586715619,1.3241304880073428,316.22776601683796
8.827536586715619,1.3241304880073428,372.7593720314938
8.827536586715619,1.3241304880073428,439.3970560760791
8.827536586715619,1.3241304880073428,517.9474679231207
8.827536586715619,1.3241304880073428,610.5402296585327
8.827536586715619,1.3241304880073428,719.6856730011514
8.827536586715619,1.3241304880073428,848.3428982440716
8.827536586715619,1.3241304880073428,1000.0
8.827536586715619,1.3241304880073428,1178.7686347935867
8.827536586715619,1.3241304880073428,1389.4954943731375
8.827536586715619,1.3241304880073428,1637.893706954063
8.827536586715619,1.3241304880073428,1930.6977288832495
8.827536586715619,1.3241304880073428,2275.8459260747863
8.827536586715619,1.3241304880073428,2682.6957952797247
8.827536586715619,1.3241304880073428,3162.2776601683795
9.354593017815315,1.4031889526722972,1.0
9.354593017815315,1.4031889526722972,1.1787686347935873
9.354593017815315,1.4031889526722972,1.3894954943731377
9.354593017815315,1.4031889526722972,1.637893706954064
9.354593017815315,1.4031889526722972,1.93069772888325
9.354593017815315,1.4031889526722972,2.2758459260747883
9.354593017815315,1.4031889526722972,2.6826957952797255
9.354593017815315,1.4031889526722972,3.1622776601683795
9.354593017815315,1.4031889526722972,3.72759372031494
9.354593017815315,1.4031889526722972,4.39397056076079
9.354593017815315,1.4031889526722972,5.17947467923121
9.354593017815315,1.4031889526722972,6.1054022965853285
9.354593017815315,1.4031889526722972,7.196856730011519
9.354593017815315,1.4031889526722972,8.483428982440719
9.354593017815315,1.4031889526722972,10.0
9.354593017815315,1.4031889526722972,11.787686347935873
9.354593017815315,1.4031889526722972,13.894954943731374
9.354593017815315,1.4031889526722972,16.378937069540637
9.354593017815315,1.4031889526722972,19.306977288832496
9.354593017815315,1.4031889526722972,22.758459260747877
9.354593017815315,1.4031889526722972,26.826957952797247
9.354593017815315,1.4031889526722972,31.622776601683793
9.354593017815315,1.4031889526722972,37.2759372031494
9.354593017815315,1.4031889526722972,43.939705607607905
9.354593017815315,1.4031889526722972,51.7947467923121
9.354593017815315,1.4031889526722972,61.054022965853264
9.354593017815315,1.4031889526722972,71.96856730011518
9.354593017815315,1.4031889526722972,84.83428982440716
9.354593017815315,1.4031889526722972,100.0
9.354593017815315,1.4031889526722972,117.87686347935866
9.354593017815315,1.4031889526722972,138.94954943731375
9.354593017815315,1.4031889526722972,163.7893706954063
9.354593017815315,1.4031889526722972,193.06977288832496
9.354593017815315,1.4031889526722972,227.58459260747887
9.354593017815315,1.4031889526722972,268.26957952797244
9.354593017815315,1.4031889526722972,316.22776601683796
9.354593017815315,1.4031889526722972,372.7593720314938
9.354593017815315,1.4031889526722972,439.3970560760791
9.354593017815315,1.4031889526722972,517.9474679231207
9.354593017815315,1.4031889526722972,610.5402296585327
9.354593017815315,1.4031889526722972,719.6856730011514
9.354593017815315,1.4031889526722972,848.3428982440716
9.354593017815315,1.4031889526722972,1000.0
9.354593017815315,1.4031889526722972,1178.7686347935867
9.354593017815315,1.4031889526722972,1389.4954943731375
9.354593017815315,1.4031889526722972,1637.893706954063
9.354593017815315,1.4031889526722972,1930.6977288832495
9.354593017815315,1.4031889526722972,2275.8459260747863
9.354593017815315,1.4031889526722972,2682.6957952797247
9.354593017815315,1.4031889526722972,3162.2776601683795
9.91311785222716,1.486967677834074,1.0
9.91311785222716,1.486967677834074,1.1787686347935873
9.91311785222716,1.486967677834074,1.3894954943731377
9.91311785222716,1.486967677834074,1.637893706954064
9.91311785222716,1.486967677834074,1.93069772888325
9.91311785222716,1.486967677834074,2.2758459260747883
9.91311785222716,1.486967677834074,2.6826957952797255
9.91311785222716,1.486967677834074,3.1622776601683795
9.91311785222716,1.486967677834074,3.72759372031494
9.91311785222716,1.486967677834074,4.39397056076079
9.91311785222716,1.486967677834074,5.17947467923121
9.91311785222716,1.486967677834074,6.1054022965853285
9.91311785222716,1.486967677834074,7.196856730011519
9.91311785222716,1.486967677834074,8.483428982440719
9.91311785222716,1.486967677834074,10.0
9.91311785222716,1.486967677834074,11.787686347935873
9.91311785222716,1.486967677834074,13.894954943731374
9.91311785222716,1.486967677834074,16.378937069540637
9.91311785222716,1.486967677834074,19.306977288832496
9.91311785222716,1.486967677834074,22.758459260747877
9.91311785222716,1.486967677834074,26.826957952797247
9.91311785222716,1.486967677834074,31.622776601683793
9.91311785222716,1.486967677834074,37.2759372031494
9.91311785222716,1.486967677834074,43.939705607607905
9.91311785222716,1.486967677834074,51.7947467923121
9.91311785222716,1.486967677834074,61.054022965853264
9.91311785222716,1.486967677834074,71.96856730011518
9.91311785222716,1.486967677834074,84.83428982440716
9.91311785222716,1.486967677834074,100.0
9.91311785222716,1.486967677834074,117.87686347935866
9.91311785222716,1.486967677834074,138.94954943731375
9.91311785222716,1.486967677834074,163.7893706954063
9.91311785222716,1.486967677834074,193.06977288832496
9.91311785222716,1.486967677834074,227.58459260747887
9.91311785222716,1.486967677834074,268.26957952797244
9.91311785222716,1.486967677834074,316.22776601683796
9.91311785222716,1.486967677834074,372.7593720314938
9.91311785222716,1.486967677834074,439.3970560760791
9.91311785222716,1.486967677834074,517.9474679231207
9.91311785222716,1.486967677834074,610.5402296585327
9.91311785222716,1.486967677834074,719.6856730011514
9.91311785222716,1.486967677834074,848.3428982440716
9.91311785222716,1.486967677834074,1000.0
9.91311785222716,1.486967677834074,1178.7686347935867
9.91311785222716,1.486967677834074,1389.4954943731375
9.91311785222716,1.486967677834074,1637.893706954063
9.91311785222716,1.486967677834074,1930.6977288832495
9.91311785222716,1.486967677834074,2275.8459260747863
9.91311785222716,1.486967677834074,2682.6957952797247
9.91311785222716,1.486967677834074,3162.2776601683795
10.50498994076975,1.5757484911154624,1.0
10.50498994076975,1.5757484911154624,1.1787686347935873
10.50498994076975,1.5757484911154624,1.3894954943731377
10.50498994076975,1.5757484911154624,1.637893706954064
10.50498994076975,1.5757484911154624,1.93069772888325
10.50498994076975,1.5757484911154624,2.2758459260747883
10.50498994076975,1.5757484911154624,2.6826957952797255
10.50498994076975,1.5757484911154624,3.1622776601683795
10.50498994076975,1.5757484911154624,3.72759372031494
10.50498994076975,1.5757484911154624,4.39397056076079
10.50498994076975,1.5757484911154624,5.17947467923121
10.50498994076975,1.5757484911154624,6.1054022965853285
10.50498994076975,1.5757484911154624,7.196856730011519
10.50498994076975,1.5757484911154624,8.483428982440719
10.50498994076975,1.5757484911154624,10.0
10.50498994076975,1.5757484911154624,11.787686347935873
10.50498994076975,1.5757484911154624,13.894954943731374
10.50498994076975,1.5757484911154624,16.378937069540637
10.50498994076975,1.5757484911154624,19.306977288832496
10.50498994076975,1.5757484911154624,22.758459260747877
10.50498994076975,1.5757484911154624,26.826957952797247
10.50498994076975,1.5757484911154624,31.622776601683793
10.50498994076975,1.5757484911154624,37.2759372031494
10.50498994076975,1.5757484911154624,43.939705607607905
10.50498994076975,1.5757484911154624,51.7947467923121
10.50498994076975,1.5757484911154624,61.054022965853264
10.50498994076975,1.5757484911154624,71.96856730011518
10.50498994076975,1.5757484911154624,84.83428982440716
10.50498994076975,1.5757484911154624,100.0
10.50498994076975,1.5757484911154624,117.87686347935866
10.50498994076975,1.5757484911154624,138.94954943731375
10.50498994076975,1.5757484911154624,163.7893706954063
10.50498994076975,1.5757484911154624,193.06977288832496
10.50498994076975,1.5757484911154624,227.58459260747887
10.50498994076975,1.5757484911154624,268.26957952797244
10.50498994076975,1.5757484911154624,316.22776601683796
10.50498994076975,1.5757484911154624,372.7593720314938
10.50498994076975,1.5757484911154624,439.3970560760791
10.50498994076975,1.5757484911154624,517.9474679231207
10.50498994076975,1.5757484911154624,610.5402296585327
10.50498994076975,1.5757484911154624,719.6856730011514
10.50498994076975,1.5757484911154624,848.3428982440716
10.50498994076975,1.5757484911154624,1000.0
10.50498994076975,1.5757484911154624,1178.7686347935867
10.50498994076975,1.5757484911154624,1389.4954943731375
10.50498994076975,1.5757484911154624,1637.893706954063
10.50498994076975,1.5757484911154624,1930.6977288832495
10.50498994076975,1.5757484911154624,2275.8459260747863
10.50498994076975,1.5757484911154624,2682.6957952797247
10.50498994076975,1.5757484911154624,3162.2776601683795
11.132200312828974,1.6698300469243461,1.0
11.132200312828974,1.6698300469243461,1.1787686347935873
11.132200312828974,1.6698300469243461,1.3894954943731377
11.132200312828974,1.6698300469243461,1.637893706954064
11.132200312828974,1.6698300469243461,1.93069772888325
11.132200312828974,1.6698300469243461,2.2758459260747883
11.132200312828974,1.6698300469243461,2.6826957952797255
11.132200312828974,1.6698300469243461,3.1622776601683795
11.132200312828974,1.6698300469243461,3.72759372031494
11.132200312828974,1.6698300469243461,4.39397056076079
11.132200312828974,1.6698300469243461,5.17947467923121
11.132200312828974,1.6698300469243461,6.1054022965853285
11.132200312828974,1.6698300469243461,7.196856730011519
11.132200312828974,1.6698300469243461,8.483428982440719
11.132200312828974,1.6698300469243461,10.0
11.132200312828974,1.6698300469243461,11.787686347935873
11.132200312828974,1.6698300469243461,13.894954943731374
11.132200312828974,1.6698300469243461,16.378937069540637
11.132200312828974,1.6698300469243461,19.306977288832496
11.132200312828974,1.6698300469243461,22.758459260747877
11.132200312828974,1.6698300469243461,26.826957952797247
11.132200312828974,1.6698300469243461,31.622776601683793
11.132200312828974,1.6698300469243461,37.2759372031494
11.132200312828974,1.6698300469243461,43.939705607607905
11.132200312828974,1.6698300469243461,51.7947467923121
11.132200312828974,1.6698300469243461,61.054022965853264
11.132200312828974,1.6698300469243461,71.96856730011518
11.132200312828974,1.6698300469243461,84.83428982440716
11.132200312828974,1.6698300469243461,100.0
11.132200312828974,1.6698300469243461,117.87686347935866
11.132200312828974,1.6698300469243461,138.94954943731375
11.132200312828974,1.6698300469243461,163.7893706954063
11.132200312828974,1.6698300469243461,193.06977288832496
11.132200312828974,1.6698300469243461,227.58459260747887
11.132200312828974,1.6698300469243461,268.26957952797244
11.132200312828974,1.6698300469243461,316.22776601683796
11.132200312828974,1.6698300469243461,372.7593720314938
11.132200312828974,1.6698300469243461,439.3970560760791
11.132200312828974,1.6698300469243461,517.9474679231207
11.132200312828974,1.6698300469243461,610.5402296585327
11.132200312828974,1.6698300469243461,719.6856730011514
11.132200312828974,1.6698300469243461,848.3428982440716
11.132200312828974,1.6698300469243461,1000.0
11.132200312828974,1.6698300469243461,1178.7686347935867
11.132200312828974,1.6698300469243461,1389.4954943731375
11.132200312828974,1.6698300469243461,1637.893706954063
11.132200312828974,1.6698300469243461,1930.6977288832495
11.132200312828974,1.6698300469243461,2275.8459260747863
11.132200312828974,1.6698300469243461,2682.6957952797247
11.132200312828974,1.6698300469243461,3162.2776601683795
11.796858874085592,1.7695288311128388,1.0
11.796858874085592,1.7695288311128388,1.1787686347935873
11.796858874085592,1.7695288311128388,1.3894954943731377
11.796858874085592,1.7695288311128388,1.637893706954064
11.796858874085592,1.7695288311128388,1.93069772888325
11.796858874085592,1.7695288311128388,2.2758459260747883
11.796858874085592,1.7695288311128388,2.6826957952797255
11.796858874085592,1.7695288311128388,3.1622776601683795
11.796858874085592,1.7695288311128388,3.72759372031494
11.796858874085592,1.7695288311128388,4.39397056076079
11.796858874085592,1.7695288311128388,5.17947467923121
11.796858874085592,1.7695288311128388,6.1054022965853285
11.796858874085592,1.7695288311128388,7.196856730011519
11.796858874085592,1.7695288311128388,8.483428982440719
11.796858874085592,1.7695288311128388,10.0
11.796858874085592,1.7695288311128388,11.787686347935873
11.796858874085592,1.7695288311128388,13.894954943731374
11.796858874085592,1.7695288311128388,16.378937069540637
