m1,m2,initial_period_in_days
7.0,0.7000000000000001,1.0
7.0,0.7000000000000001,1.1787686347935873
7.0,0.7000000000000001,1.3894954943731377
7.0,0.7000000000000001,1.637893706954064
7.0,0.7000000000000001,1.93069772888325
7.0,0.7000000000000001,2.2758459260747883
7.0,0.7000000000000001,2.6826957952797255
7.0,0.7000000000000001,3.1622776601683795
7.0,0.7000000000000001,3.72759372031494
7.0,0.7000000000000001,4.39397056076079
7.0,0.7000000000000001,5.17947467923121
7.0,0.7000000000000001,6.1054022965853285
7.0,0.7000000000000001,7.196856730011519
7.0,0.7000000000000001,8.483428982440719
7.0,0.7000000000000001,10.0
7.0,0.7000000000000001,11.787686347935873
7.0,0.7000000000000001,13.894954943731374
7.0,0.7000000000000001,16.378937069540637
7.0,0.7000000000000001,19.306977288832496
7.0,0.7000000000000001,22.758459260747877
7.0,0.7000000000000001,26.826957952797247
7.0,0.7000000000000001,31.622776601683793
7.0,0.7000000000000001,37.2759372031494
7.0,0.7000000000000001,43.939705607607905
7.0,0.7000000000000001,51.7947467923121
7.0,0.7000000000000001,61.054022965853264
7.0,0.7000000000000001,71.96856730011518
7.0,0.7000000000000001,84.83428982440716
7.0,0.7000000000000001,100.0
7.0,0.7000000000000001,117.87686347935866
7.0,0.7000000000000001,138.94954943731375
7.0,0.7000000000000001,163.7893706954063
7.0,0.7000000000000001,193.06977288832496
7.0,0.7000000000000001,227.58459260747887
7.0,0.7000000000000001,268.26957952797244
7.0,0.7000000000000001,316.22776601683796
7.0,0.7000000000000001,372.7593720314938
7.0,0.7000000000000001,439.397056076079
7.0,0.7000000000000001,517.9474679231207
7.0,0.7000000000000001,610.5402296585327
7.0,0.7000000000000001,719.6856730011514
7.0,0.7000000000000001,848.3428982440716
7.0,0.7000000000000001,1000.0
7.0,0.7000000000000001,1178.7686347935867
7.0,0.7000000000000001,1389.4954943731375
7.0,0.7000000000000001,1637.893706954063
7.0,0.7000000000000001,1930.6977288832495
7.0,0.7000000000000001,2275.8459260747863
7.0,0.7000000000000001,2682.6957952797247
7.0,0.7000000000000001,3162.2776601683795
7.0,1.05,1.0
7.0,1.05,1.1787686347935873
7.0,1.05,1.3894954943731377
7.0,1.05,1.637893706954064
7.0,1.05,1.93069772888325
7.0,1.05,2.2758459260747883
7.0,1.05,2.6826957952797255
7.0,1.05,3.1622776601683795
7.0,1.05,3.72759372031494
7.0,1.05,4.39397056076079
7.0,1.05,5.17947467923121
7.0,1.05,6.1054022965853285
7.0,1.05,7.196856730011519
7.0,1.05,8.483428982440719
7.0,1.05,10.0
7.0,1.05,11.787686347935873
7.0,1.05,13.894954943731374
7.0,1.05,16.378937069540637
7.0,1.05,19.306977288832496
7.0,1.05,22.758459260747877
7.0,1.05,26.826957952797247
7.0,1.05,31.622776601683793
7.0,1.05,37.2759372031494
7.0,1.05,43.939705607607905
7.0,1.05,51.7947467923121
7.0,1.05,61.054022965853264
7.0,1.05,71.96856730011518
7.0,1.05,84.83428982440716
7.0,1.05,100.0
7.0,1.05,117.87686347935866
7.0,1.05,138.94954943731375
7.0,1.05,163.7893706954063
7.0,1.05,193.06977288832496
7.0,1.05,227.58459260747887
7.0,1.05,268.26957952797244
7.0,1.05,316.22776601683796
7.0,1.05,372.7593720314938
7.0,1.05,439.397056076079
7.0,1.05,517.9474679231207
7.0,1.05,610.5402296585327
7.0,1.05,719.6856730011514
7.0,1.05,848.3428982440716
7.0,1.05,1000.0
7.0,1.05,1178.7686347935867
7.0,1.05,1389.4954943731375
7.0,1.05,1637.893706954063
7.0,1.05,1930.6977288832495
7.0,1.05,2275.8459260747863
7.0,1.05,2682.6957952797247
7.0,1.05,3162.2776601683795
7.0,1.4000000000000001,1.0
7.0,1.4000000000000001,1.1787686347935873
7.0,1.4000000000000001,1.3894954943731377
7.0,1.4000000000000001,1.637893706954064
7.0,1.4000000000000001,1.93069772888325
7.0,1.4000000000000001,2.2758459260747883
7.0,1.4000000000000001,2.6826957952797255
7.0,1.4000000000000001,3.1622776601683795
7.0,1.4000000000000001,3.72759372031494
7.0,1.4000000000000001,4.39397056076079
7.0,1.4000000000000001,5.17947467923121
7.0,1.4000000000000001,6.1054022965853285
7.0,1.4000000000000001,7.196856730011519
7.0,1.4000000000000001,8.483428982440719
7.0,1.4000000000000001,10.0
7.0,1.4000000000000001,11.787686347935873
