initial_z,Zbase,new_Z,initial_mass
0.0284,0.0284,0.0284,11.1233086609
0.0284,0.0284,0.0284,11.3638492642
0.0284,0.0284,0.0284,11.6095915376
0.0284,0.0284,0.0284,11.8606479667
0.0284,0.0284,0.0284,12.1171334697
0.0284,0.0284,0.0284,12.3791654499
0.0284,0.0284,0.0284,12.6468638494
0.0284,0.0284,0.0284,12.920351204
0.0284,0.0284,0.0284,13.1997526993
0.0284,0.0284,0.0284,13.4851962282
0.0284,0.0284,0.0284,13.7768124492
0.0284,0.0284,0.0284,14.0747348461
0.0284,0.0284,0.0284,14.3790997895
0.0284,0.0284,0.0284,14.6900465989
0.0284,0.0284,0.0284,15.0077176066
0.0284,0.0284,0.0284,15.3322582228
0.0284,0.0284,0.0284,15.6638170022
0.0284,0.0284,0.0284,16.002545712
0.0284,0.0284,0.0284,16.3485994013
0.0284,0.0284,0.0284,16.7021364722
0.0284,0.0284,0.0284,17.0633187522
0.0284,0.0284,0.0284,17.4323115682
0.0284,0.0284,0.0284,17.8092838225
0.0284,0.0284,0.0284,18.1944080697
0.0284,0.0284,0.0284,18.587860596
0.0284,0.0284,0.0284,18.9898214997
0.0284,0.0284,0.0284,19.4004747738
0.0284,0.0284,0.0284,19.8200083899
0.0284,0.0284,0.0284,20.2486143848
0.0284,0.0284,0.0284,20.6864889479
0.0284,0.0284,0.0284,21.1338325111
0.0284,0.0284,0.0284,21.5908498408
0.0284,0.0284,0.0284,22.0577501314
0.0284,0.0284,0.0284,22.534747101
0.0284,0.0284,0.0284,23.0220590895
0.0284,0.0284,0.0284,23.5199091583
0.0284,0.0284,0.0284,24.0285251925
0.0284,0.0284,0.0284,24.5481400051
0.0284,0.0284,0.0284,25.0789914439
0.0284,0.0284,0.0284,25.6213224998
0.0284,0.0284,0.0284,26.1753814187
0.0284,0.0284,0.0284,26.7414218145
0.0284,0.0284,0.0284,27.3197027858
0.0284,0.0284,0.0284,27.9104890338
0.0284,0.0284,0.0284,28.5140509842
0.0284,0.0284,0.0284,29.1306649104
0.0284,0.0284,0.0284,29.7606130603
0.0284,0.0284,0.0284,30.4041837853
0.0284,0.0284,0.0284,31.0616716725
0.0284,0.0284,0.0284,31.7333776793
0.0284,0.0284,0.0284,32.4196092713
0.0284,0.0284,0.0284,33.1206805631
0.0284,0.0284,0.0284,33.836912462
0.0284,0.0284,0.0284,34.5686328147
0.0284,0.0284,0.0284,35.3161765577
0.0284,0.0284,0.0284,36.0798858707
0.0284,0.0284,0.0284,36.8601103325
0.0284,0.0284,0.0284,37.6572070819
0.0284,0.0284,0.0284,38.4715409807
0.0284,0.0284,0.0284,39.3034847807
0.0284,0.0284,0.0284,40.1534192947
0.0284,0.0284,0.0284,41.0217335702
0.0284,0.0284,0.0284,41.908825068
0.0284,0.0284,0.0284,42.8150998439
0.0284,0.0284,0.0284,43.7409727348
0.0284,0.0284,0.0284,44.6868675481
0.0284,0.0284,0.0284,45.6532172563
0.0284,0.0284,0.0284,46.6404641948
0.0284,0.0284,0.0284,47.6490602642
0.0284,0.0284,0.0284,48.6794671378
0.0284,0.0284,0.0284,49.7321564724
0.0284,0.0284,0.0284,50.8076101243
0.0284,0.0284,0.0284,51.9063203699
