initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,0.9040707313
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,1.4557907688
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,2.3442045951
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,3.7747836443
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,6.0783907646
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,9.787801837
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,15.7609256313
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,25.3792200634
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,40.8671943571
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,65.8068912463
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,105.9663381257
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,170.6335704835
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,274.7647591767
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,442.4432582141
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,712.4495780525
0.00284,0.00284,0.00284,11.6692911677,25.0829164065,1147.2305020897
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.02
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.0322052406
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.0518588759
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.0835063787
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.1344671507
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.2165273468
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.3486657644
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.5614432408
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,0.9040707313
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,1.4557907688
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,2.3442045951
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,3.7747836443
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,6.0783907646
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,9.787801837
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,15.7609256313
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,25.3792200634
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,40.8671943571
0.00284,0.00284,0.00284,16.5597109156,25.0829164065,65.8068912463
