initial_z,Zbase,initial_mass
1.42e-05,1.42e-05,12.920351204
1.42e-05,1.42e-05,13.1997526993
1.42e-05,1.42e-05,13.4851962282
1.42e-05,1.42e-05,13.7768124492
1.42e-05,1.42e-05,14.0747348461
1.42e-05,1.42e-05,14.3790997895
1.42e-05,1.42e-05,14.6900465989
1.42e-05,1.42e-05,15.0077176066
1.42e-05,1.42e-05,15.3322582228
1.42e-05,1.42e-05,15.6638170022
1.42e-05,1.42e-05,16.002545712
1.42e-05,1.42e-05,16.3485994013
1.42e-05,1.42e-05,16.7021364722
1.42e-05,1.42e-05,17.0633187522
1.42e-05,1.42e-05,17.4323115682
1.42e-05,1.42e-05,17.8092838225
1.42e-05,1.42e-05,18.1944080697
1.42e-05,1.42e-05,18.587860596
1.42e-05,1.42e-05,18.9898214997
1.42e-05,1.42e-05,19.4004747738
1.42e-05,1.42e-05,19.8200083899
1.42e-05,1.42e-05,20.2486143848
1.42e-05,1.42e-05,20.6864889479
1.42e-05,1.42e-05,21.1338325111
1.42e-05,1.42e-05,21.5908498408
1.42e-05,1.42e-05,22.0577501314
1.42e-05,1.42e-05,22.534747101
1.42e-05,1.42e-05,23.0220590895
1.42e-05,1.42e-05,23.5199091583
1.42e-05,1.42e-05,24.0285251925
1.42e-05,1.42e-05,24.5481400051
1.42e-05,1.42e-05,25.0789914439
1.42e-05,1.42e-05,25.6213224998
1.42e-05,1.42e-05,26.1753814187
1.42e-05,1.42e-05,26.7414218145
1.42e-05,1.42e-05,27.3197027858
1.42e-05,1.42e-05,27.9104890338
1.42e-05,1.42e-05,28.5140509842
1.42e-05,1.42e-05,29.1306649104
1.42e-05,1.42e-05,29.7606130603
1.42e-05,1.42e-05,30.4041837853
1.42e-05,1.42e-05,31.0616716725
1.42e-05,1.42e-05,31.7333776793
1.42e-05,1.42e-05,32.4196092713
1.42e-05,1.42e-05,33.1206805631
1.42e-05,1.42e-05,33.836912462
1.42e-05,1.42e-05,34.5686328147
1.42e-05,1.42e-05,35.3161765577
1.42e-05,1.42e-05,36.0798858707
1.42e-05,1.42e-05,36.8601103325
1.42e-05,1.42e-05,37.6572070819
1.42e-05,1.42e-05,38.4715409807
1.42e-05,1.42e-05,39.3034847807
1.42e-05,1.42e-05,40.1534192947
1.42e-05,1.42e-05,41.0217335702
1.42e-05,1.42e-05,41.908825068
1.42e-05,1.42e-05,42.8150998439
1.42e-05,1.42e-05,43.7409727348
1.42e-05,1.42e-05,44.6868675481
1.42e-05,1.42e-05,45.6532172563
1.42e-05,1.42e-05,46.6404641948
1.42e-05,1.42e-05,47.6490602642
1.42e-05,1.42e-05,48.6794671378
1.42e-05,1.42e-05,49.7321564724
1.42e-05,1.42e-05,50.8076101243
1.42e-05,1.42e-05,51.9063203699
1.42e-05,1.42e-05,53.028790131
1.42e-05,1.42e-05,54.1755332052
1.42e-05,1.42e-05,55.3470745008
1.42e-05,1.42e-05,56.5439502773
1.42e-05,1.42e-05,57.7667083906
1.42e-05,1.42e-05,59.015908544
1.42e-05,1.42e-05,60.2921225444
1.42e-05,1.42e-05,61.595934564
1.42e-05,1.42e-05,62.9279414076
1.42e-05,1.42e-05,64.2887527858
1.42e-05,1.42e-05,65.6789915943
1.42e-05,1.42e-05,67.0992941987
1.42e-05,1.42e-05,68.5503107261
1.42e-05,1.42e-05,70.0327053624
1.42e-05,1.42e-05,71.5471566566
1.42e-05,1.42e-05,73.0943578312
1.42e-05,1.42e-05,74.6750170995
1.42e-05,1.42e-05,76.28985799
1.42e-05,1.42e-05,77.9396196773
1.42e-05,1.42e-05,79.6250573207
1.42e-05,1.42e-05,81.3469424097
1.42e-05,1.42e-05,83.1060631173
1.42e-05,1.42e-05,84.9032246605
1.42e-05,1.42e-05,86.7392496691
1.42e-05,1.42e-05,88.6149785624
1.42e-05,1.42e-05,90.5312699333
1.42e-05,1.42e-05,92.489000942
1.42e-05,1.42e-05,94.4890677173
1.42e-05,1.42e-05,96.5323857663
1.42e-05,1.42e-05,98.6198903943
1.42e-05,1.42e-05,100.7525371323
1.42e-05,1.42e-05,102.9313021744
1.42e-05,1.42e-05,105.1571828252
1.42e-05,1.42e-05,107.4311979557
1.42e-05,1.42e-05,109.7543884699
1.42e-05,1.42e-05,112.1278177813
1.42e-05,1.42e-05,114.5525722995
1.42e-05,1.42e-05,117.0297619279
1.42e-05,1.42e-05,119.5605205712
1.42e-05,1.42e-05,122.1460066548
1.42e-05,1.42e-05,124.787403655
1.42e-05,1.42e-05,127.4859206405
1.42e-05,1.42e-05,130.2427928263
1.42e-05,1.42e-05,133.0592821384
1.42e-05,1.42e-05,135.9366777923
1.42e-05,1.42e-05,138.8762968823
1.42e-05,1.42e-05,141.879484985
1.42e-05,1.42e-05,144.9476167749
1.42e-05,1.42e-05,148.0820966537
1.42e-05,1.42e-05,151.2843593931
1.42e-05,1.42e-05,154.5558707918
1.42e-05,1.42e-05,157.8981283461
1.42e-05,1.42e-05,161.3126619356
1.42e-05,1.42e-05,164.8010345234
1.42e-05,1.42e-05,168.3648428716
1.42e-05,1.42e-05,172.0057182721
1.42e-05,1.42e-05,175.7253272933
1.42e-05,1.42e-05,179.525372543
1.42e-05,1.42e-05,183.407593448
1.42e-05,1.42e-05,187.3737670496
1.42e-05,1.42e-05,191.4257088179
1.42e-05,1.42e-05,195.5652734822
1.42e-05,1.42e-05,199.7943558801
1.42e-05,1.42e-05,204.1148918249
1.42e-05,1.42e-05,208.5288589919
1.42e-05,1.42e-05,213.0382778233
1.42e-05,1.42e-05,217.6452124533
1.42e-05,1.42e-05,222.3517716525
1.42e-05,1.42e-05,227.160109794
1.42e-05,1.42e-05,232.0724278386
1.42e-05,1.42e-05,237.090974343
1.42e-05,1.42e-05,242.2180464884
1.42e-05,1.42e-05,247.4559911327
1.42e-05,1.42e-05,252.8072058843
1.42e-05,1.42e-05,258.2741401994
1.42e-05,1.42e-05,263.859296504
1.42e-05,1.42e-05,269.5652313384
1.42e-05,1.42e-05,275.394556528
1.42e-05,1.42e-05,281.3499403789
1.42e-05,1.42e-05,287.4341088987
1.42e-05,1.42e-05,293.6498470451
1.42e-05,1.42e-05,300.0
