initial_z,Zbase,initial_mass
1.42e-06,1.42e-06,0.1
1.42e-06,1.42e-06,0.1021638182
1.42e-06,1.42e-06,0.1043744575
1.42e-06,1.42e-06,0.1066329311
1.42e-06,1.42e-06,0.1089402738
1.42e-06,1.42e-06,0.1112975433
1.42e-06,1.42e-06,0.1137058199
1.42e-06,1.42e-06,0.1161662071
1.42e-06,1.42e-06,0.1186798326
1.42e-06,1.42e-06,0.1212478485
1.42e-06,1.42e-06,0.1238714315
1.42e-06,1.42e-06,0.1265517841
1.42e-06,1.42e-06,0.1292901347
1.42e-06,1.42e-06,0.1320877382
1.42e-06,1.42e-06,0.1349458767
1.42e-06,1.42e-06,0.1378658602
1.42e-06,1.42e-06,0.1408490268
1.42e-06,1.42e-06,0.1438967437
1.42e-06,1.42e-06,0.1470104076
1.42e-06,1.42e-06,0.1501914456
1.42e-06,1.42e-06,0.1534413155
1.42e-06,1.42e-06,0.1567615066
1.42e-06,1.42e-06,0.1601535406
1.42e-06,1.42e-06,0.1636189721
1.42e-06,1.42e-06,0.1671593893
1.42e-06,1.42e-06,0.1707764146
1.42e-06,1.42e-06,0.1744717057
1.42e-06,1.42e-06,0.1782469563
1.42e-06,1.42e-06,0.1821038964
1.42e-06,1.42e-06,0.1860442937
1.42e-06,1.42e-06,0.190069954
1.42e-06,1.42e-06,0.1941827223
1.42e-06,1.42e-06,0.1983844834
1.42e-06,1.42e-06,0.202677163
1.42e-06,1.42e-06,0.2070627284
1.42e-06,1.42e-06,0.2115431894
1.42e-06,1.42e-06,0.2161205995
1.42e-06,1.42e-06,0.2207970564
1.42e-06,1.42e-06,0.2255747033
1.42e-06,1.42e-06,0.2304557299
1.42e-06,1.42e-06,0.2354423729
1.42e-06,1.42e-06,0.2405369179
1.42e-06,1.42e-06,0.2457416995
1.42e-06,1.42e-06,0.2510591032
1.42e-06,1.42e-06,0.2564915658
1.42e-06,1.42e-06,0.262041577
1.42e-06,1.42e-06,0.2677116804
1.42e-06,1.42e-06,0.2735044745
1.42e-06,1.42e-06,0.2794226142
1.42e-06,1.42e-06,0.2854688116
1.42e-06,1.42e-06,0.2916458377
1.42e-06,1.42e-06,0.2979565235
1.42e-06,1.42e-06,0.304403761
1.42e-06,1.42e-06,0.3109905051
1.42e-06,1.42e-06,0.3177197743
1.42e-06,1.42e-06,0.3245946526
1.42e-06,1.42e-06,0.3316182909
1.42e-06,1.42e-06,0.3387939078
1.42e-06,1.42e-06,0.3461247921
1.42e-06,1.42e-06,0.3536143035
1.42e-06,1.42e-06,0.3612658742
1.42e-06,1.42e-06,0.369083011
1.42e-06,1.42e-06,0.3770692964
1.42e-06,1.42e-06,0.3852283905
1.42e-06,1.42e-06,0.3935640326
1.42e-06,1.42e-06,0.4020800428
1.42e-06,1.42e-06,0.4107803241
1.42e-06,1.42e-06,0.4196688636
1.42e-06,1.42e-06,0.4287497349
1.42e-06,1.42e-06,0.4380270997
1.42e-06,1.42e-06,0.4475052099
1.42e-06,1.42e-06,0.4571884092
1.42e-06,1.42e-06,0.4670811353
1.42e-06,1.42e-06,0.477187922
1.42e-06,1.42e-06,0.4875134011
1.42e-06,1.42e-06,0.4980623049
1.42e-06,1.42e-06,0.5088394678
1.42e-06,1.42e-06,0.5198498289
1.42e-06,1.42e-06,0.5310984342
1.42e-06,1.42e-06,0.5425904389
1.42e-06,1.42e-06,0.5543311097
1.42e-06,1.42e-06,0.5663258272
1.42e-06,1.42e-06,0.5785800886
1.42e-06,1.42e-06,0.59109951
1.42e-06,1.42e-06,0.6038898288
1.42e-06,1.42e-06,0.616956907
1.42e-06,1.42e-06,0.6303067329
1.42e-06,1.42e-06,0.6439454248
1.42e-06,1.42e-06,0.6578792332
1.42e-06,1.42e-06,0.6721145439
1.42e-06,1.42e-06,0.6866578809
1.42e-06,1.42e-06,0.7015159092
1.42e-06,1.42e-06,0.7166954382
1.42e-06,1.42e-06,0.7322034247
1.42e-06,1.42e-06,0.7480469758
1.42e-06,1.42e-06,0.7642333525
1.42e-06,1.42e-06,0.780769973
1.42e-06,1.42e-06,0.7976644159
1.42e-06,1.42e-06,0.8149244239
1.42e-06,1.42e-06,0.832557907
1.42e-06,1.42e-06,0.8505729467
1.42e-06,1.42e-06,0.8689777991
1.42e-06,1.42e-06,0.887780899
1.42e-06,1.42e-06,0.9069908638
1.42e-06,1.42e-06,0.9266164973
1.42e-06,1.42e-06,0.9466667939
1.42e-06,1.42e-06,0.9671509425
1.42e-06,1.42e-06,0.9880783307
1.42e-06,1.42e-06,1.0094585497
1.42e-06,1.42e-06,1.0313013977
1.42e-06,1.42e-06,1.0536168852
1.42e-06,1.42e-06,1.0764152393
1.42e-06,1.42e-06,1.0997069083
1.42e-06,1.42e-06,1.1235025667
1.42e-06,1.42e-06,1.1478131199
1.42e-06,1.42e-06,1.1726497093
1.42e-06,1.42e-06,1.1980237174
1.42e-06,1.42e-06,1.2239467728
1.42e-06,1.42e-06,1.2504307561
1.42e-06,1.42e-06,1.2774878046
1.42e-06,1.42e-06,1.3051303184
1.42e-06,1.42e-06,1.333370966
1.42e-06,1.42e-06,1.3622226898
1.42e-06,1.42e-06,1.3916987126
1.42e-06,1.42e-06,1.4218125428
1.42e-06,1.42e-06,1.4525779817
1.42e-06,1.42e-06,1.4840091286
1.42e-06,1.42e-06,1.5161203885
1.42e-06,1.42e-06,1.5489264777
1.42e-06,1.42e-06,1.582442431
1.42e-06,1.42e-06,1.6166836086
1.42e-06,1.42e-06,1.651665703
1.42e-06,1.42e-06,1.6874047464
1.42e-06,1.42e-06,1.7239171177
1.42e-06,1.42e-06,1.7612195503
1.42e-06,1.42e-06,1.7993291398
1.42e-06,1.42e-06,1.8382633515
1.42e-06,1.42e-06,1.8780400288
1.42e-06,1.42e-06,1.9186774011
1.42e-06,1.42e-06,1.9601940922
1.42e-06,1.42e-06,2.0026091291
1.42e-06,1.42e-06,2.0459419502
1.42e-06,1.42e-06,2.0902124149
1.42e-06,1.42e-06,2.1354408119
1.42e-06,1.42e-06,2.1816478692
1.42e-06,1.42e-06,2.2288547632
1.42e-06,1.42e-06,2.2770831286
1.42e-06,1.42e-06,2.3263550682
1.42e-06,1.42e-06,2.376693163
1.42e-06,1.42e-06,2.4281204826
