initial_z,Zbase,new_Z,initial_mass
1.42e-06,1.42e-06,1.42e-06,0.5
1.42e-06,1.42e-06,1.42e-06,0.5108124575
1.42e-06,1.42e-06,1.42e-06,0.5218587334
1.42e-06,1.42e-06,1.42e-06,0.5331438841
1.42e-06,1.42e-06,1.42e-06,0.5446730752
1.42e-06,1.42e-06,1.42e-06,0.5564515841
1.42e-06,1.42e-06,1.42e-06,0.5684848023
1.42e-06,1.42e-06,1.42e-06,0.5807782377
1.42e-06,1.42e-06,1.42e-06,0.5933375177
1.42e-06,1.42e-06,1.42e-06,0.606168391
1.42e-06,1.42e-06,1.42e-06,0.6192767309
1.42e-06,1.42e-06,1.42e-06,0.6326685375
1.42e-06,1.42e-06,1.42e-06,0.6463499408
1.42e-06,1.42e-06,1.42e-06,0.6603272033
1.42e-06,1.42e-06,1.42e-06,0.6746067229
1.42e-06,1.42e-06,1.42e-06,0.6891950359
1.42e-06,1.42e-06,1.42e-06,0.7040988199
1.42e-06,1.42e-06,1.42e-06,0.7193248969
1.42e-06,1.42e-06,1.42e-06,0.7348802366
1.42e-06,1.42e-06,1.42e-06,0.7507719592
1.42e-06,1.42e-06,1.42e-06,0.7670073389
1.42e-06,1.42e-06,1.42e-06,0.7835938074
1.42e-06,1.42e-06,1.42e-06,0.8005389568
1.42e-06,1.42e-06,1.42e-06,0.8178505436
1.42e-06,1.42e-06,1.42e-06,0.835536492
1.42e-06,1.42e-06,1.42e-06,0.8536048975
1.42e-06,1.42e-06,1.42e-06,0.8720640308
1.42e-06,1.42e-06,1.42e-06,0.8909223413
1.42e-06,1.42e-06,1.42e-06,0.9101884611
1.42e-06,1.42e-06,1.42e-06,0.9298712091
1.42e-06,1.42e-06,1.42e-06,0.9499795949
1.42e-06,1.42e-06,1.42e-06,0.9705228228
1.42e-06,1.42e-06,1.42e-06,0.9915102963
1.42e-06,1.42e-06,1.42e-06,1.012951622
1.42e-06,1.42e-06,1.42e-06,1.0348566147
1.42e-06,1.42e-06,1.42e-06,1.0572353009
1.42e-06,1.42e-06,1.42e-06,1.0800979243
1.42e-06,1.42e-06,1.42e-06,1.10345495
1.42e-06,1.42e-06,1.42e-06,1.1273170694
1.42e-06,1.42e-06,1.42e-06,1.1516952051
1.42e-06,1.42e-06,1.42e-06,1.1766005159
1.42e-06,1.42e-06,1.42e-06,1.202044402
1.42e-06,1.42e-06,1.42e-06,1.2280385099
1.42e-06,1.42e-06,1.42e-06,1.2545947382
1.42e-06,1.42e-06,1.42e-06,1.2817252426
1.42e-06,1.42e-06,1.42e-06,1.3094424419
1.42e-06,1.42e-06,1.42e-06,1.3377590233
1.42e-06,1.42e-06,1.42e-06,1.3666879483
1.42e-06,1.42e-06,1.42e-06,1.3962424589
1.42e-06,1.42e-06,1.42e-06,1.4264360833
1.42e-06,1.42e-06,1.42e-06,1.4572826422
1.42e-06,1.42e-06,1.42e-06,1.4887962554
1.42e-06,1.42e-06,1.42e-06,1.5209913477
1.42e-06,1.42e-06,1.42e-06,1.5538826562
1.42e-06,1.42e-06,1.42e-06,1.5874852364
1.42e-06,1.42e-06,1.42e-06,1.6218144695
1.42e-06,1.42e-06,1.42e-06,1.6568860694
1.42e-06,1.42e-06,1.42e-06,1.6927160897
