initial_z,Zbase,m1,m2,initial_period_in_days
0.000142,0.000142,3.1588141126,0.9476442338,7.6785883437
0.000142,0.000142,3.1588141126,0.9476442338,10.7226722201
0.000142,0.000142,3.1588141126,0.9476442338,14.9735464897
0.000142,0.000142,3.1588141126,0.9476442338,20.9096286705
0.000142,0.000142,3.1588141126,0.9476442338,29.1989991443
0.000142,0.000142,3.1588141126,0.9476442338,40.7745907144
0.000142,0.000142,3.1588141126,0.9476442338,56.9391861586
0.000142,0.000142,3.1588141126,0.9476442338,79.5120407981
0.000142,0.000142,3.1588141126,0.9476442338,111.0336318168
0.000142,0.000142,3.1588141126,0.9476442338,155.0515779833
0.000142,0.000142,3.1588141126,0.9476442338,216.5199088036
0.000142,0.000142,3.1588141126,0.9476442338,302.3566191205
0.000142,0.000142,3.1588141126,0.9476442338,422.2222595195
0.000142,0.000142,3.1588141126,0.9476442338,589.6071895242
0.000142,0.000142,3.1588141126,0.9476442338,823.3498592289
0.000142,0.000142,3.1588141126,0.9476442338,1149.7569953977
0.000142,0.000142,3.1588141126,0.9476442338,1605.5643098112
0.000142,0.000142,3.1588141126,0.9476442338,2242.0709447806
0.000142,0.000142,3.1588141126,0.9476442338,3130.912969796
0.000142,0.000142,3.1588141126,0.9476442338,4372.1257113904
0.000142,0.000142,3.1588141126,0.9476442338,6105.4022965853
0.000142,0.000142,3.1588141126,1.1055849394,0.1
0.000142,0.000142,3.1588141126,1.1055849394,0.1396437957
0.000142,0.000142,3.1588141126,1.1055849394,0.1950038968
0.000142,0.000142,3.1588141126,1.1055849394,0.2723108433
0.000142,0.000142,3.1588141126,1.1055849394,0.3802651977
0.000142,0.000142,3.1588141126,1.1055849394,0.5310167558
0.000142,0.000142,3.1588141126,1.1055849394,0.7415319537
0.000142,0.000142,3.1588141126,1.1055849394,1.0355033665
0.000142,0.000142,3.1588141126,1.1055849394,1.4460162057
0.000142,0.000142,3.1588141126,1.1055849394,2.0192719162
0.000142,0.000142,3.1588141126,1.1055849394,2.8197879494
0.000142,0.000142,3.1588141126,1.1055849394,3.9376589236
0.000142,0.000142,3.1588141126,1.1055849394,5.498696383
0.000142,0.000142,3.1588141126,1.1055849394,7.6785883437
0.000142,0.000142,3.1588141126,1.1055849394,10.7226722201
0.000142,0.000142,3.1588141126,1.1055849394,14.9735464897
0.000142,0.000142,3.1588141126,1.1055849394,20.9096286705
0.000142,0.000142,3.1588141126,1.1055849394,29.1989991443
0.000142,0.000142,3.1588141126,1.1055849394,40.7745907144
0.000142,0.000142,3.1588141126,1.1055849394,56.9391861586
0.000142,0.000142,3.1588141126,1.1055849394,79.5120407981
0.000142,0.000142,3.1588141126,1.1055849394,111.0336318168
0.000142,0.000142,3.1588141126,1.1055849394,155.0515779833
0.000142,0.000142,3.1588141126,1.1055849394,216.5199088036
0.000142,0.000142,3.1588141126,1.1055849394,302.3566191205
0.000142,0.000142,3.1588141126,1.1055849394,422.2222595195
0.000142,0.000142,3.1588141126,1.1055849394,589.6071895242
0.000142,0.000142,3.1588141126,1.1055849394,823.3498592289
0.000142,0.000142,3.1588141126,1.1055849394,1149.7569953977
0.000142,0.000142,3.1588141126,1.1055849394,1605.5643098112
0.000142,0.000142,3.1588141126,1.1055849394,2242.0709447806
0.000142,0.000142,3.1588141126,1.1055849394,3130.912969796
0.000142,0.000142,3.1588141126,1.1055849394,4372.1257113904
0.000142,0.000142,3.1588141126,1.1055849394,6105.4022965853
0.000142,0.000142,3.1588141126,1.2635256451,0.1
0.000142,0.000142,3.1588141126,1.2635256451,0.1396437957
0.000142,0.000142,3.1588141126,1.2635256451,0.1950038968
0.000142,0.000142,3.1588141126,1.2635256451,0.2723108433
0.000142,0.000142,3.1588141126,1.2635256451,0.3802651977
0.000142,0.000142,3.1588141126,1.2635256451,0.5310167558
0.000142,0.000142,3.1588141126,1.2635256451,0.7415319537
0.000142,0.000142,3.1588141126,1.2635256451,1.0355033665
0.000142,0.000142,3.1588141126,1.2635256451,1.4460162057
0.000142,0.000142,3.1588141126,1.2635256451,2.0192719162
0.000142,0.000142,3.1588141126,1.2635256451,2.8197879494
0.000142,0.000142,3.1588141126,1.2635256451,3.9376589236
0.000142,0.000142,3.1588141126,1.2635256451,5.498696383
0.000142,0.000142,3.1588141126,1.2635256451,7.6785883437
0.000142,0.000142,3.1588141126,1.2635256451,10.7226722201
0.000142,0.000142,3.1588141126,1.2635256451,14.9735464897
