initial_z,Zbase,initial_mass
0.0142,0.0142,5.5957427798
0.0142,0.0142,5.7168244815
0.0142,0.0142,5.8405261711
0.0142,0.0142,5.9669045404
0.0142,0.0142,6.0960175078
0.0142,0.0142,6.2279242452
0.0142,0.0142,6.3626852046
0.0142,0.0142,6.5003621461
0.0142,0.0142,6.6410181664
0.0142,0.0142,6.7847177273
0.0142,0.0142,6.9315266855
0.0142,0.0142,7.0815123227
0.0142,0.0142,7.2347433764
0.0142,0.0142,7.3912900715
0.0142,0.0142,7.5512241526
0.0142,0.0142,7.7146189164
0.0142,0.0142,7.8815492459
0.0142,0.0142,8.0520916443
0.0142,0.0142,8.2263242702
0.0142,0.0142,8.4043269734
0.0142,0.0142,8.5861813315
0.0142,0.0142,8.7719706873
0.0142,0.0142,8.961780187
0.0142,0.0142,9.1556968193
0.0142,0.0142,9.353809455
0.0142,0.0142,9.556208888
0.0142,0.0142,9.7629878768
0.0142,0.0142,9.9742411871
0.0142,0.0142,10.1900656349
0.0142,0.0142,10.4105601315
0.0142,0.0142,10.6358257281
0.0142,0.0142,10.8659656628
0.0142,0.0142,11.1010854073
0.0142,0.0142,11.3412927156
0.0142,0.0142,11.5866976735
0.0142,0.0142,11.8374127485
0.0142,0.0142,12.093552842
0.0142,0.0142,12.3552353416
0.0142,0.0142,12.6225801747
0.0142,0.0142,12.895709864
0.0142,0.0142,13.1747495833
0.0142,0.0142,13.4598272148
0.0142,0.0142,13.7510734081
0.0142,0.0142,14.0486216396
0.0142,0.0142,14.3526082739
0.0142,0.0142,14.6631726264
0.0142,0.0142,14.9804570269
0.0142,0.0142,15.3046068851
0.0142,0.0142,15.635770757
0.0142,0.0142,15.9741004131
0.0142,0.0142,16.3197509078
0.0142,0.0142,16.672880651
0.0142,0.0142,17.0336514799
0.0142,0.0142,17.4022287337
0.0142,0.0142,17.7787813292
0.0142,0.0142,18.1634818385
0.0142,0.0142,18.5565065674
0.0142,0.0142,18.958035637
0.0142,0.0142,19.3682530657
0.0142,0.0142,19.7873468539
0.0142,0.0142,20.2155090699
