m1,m2,initial_period_in_days
0.5,1.0,0.1
0.5,1.0,0.14294613383568447
0.5,1.0,0.20433597178569418
0.5,1.0,0.29209037170322494
0.5,1.0,0.41753189365604015
0.5,1.0,0.5968456995122309
0.5,1.0,0.853167852417281
0.5,1.0,1.2195704601594415
0.5,1.0,1.743328822199988
0.5,1.0,2.492021151378057
0.5,1.0,3.562247890262442
0.5,1.0,5.092095636773397
0.5,1.0,7.278953843983154
0.5,1.0,10.404983103657854
0.5,1.0,14.873521072935118
0.5,1.0,21.261123338996555
0.5,1.0,30.39195382313198
0.5,1.0,43.44412298729368
0.5,1.0,62.10169418915616
0.5,1.0,88.7719708898587
0.5,1.0,126.89610031679221
0.5,1.0,181.3930693911063
0.5,1.0,259.2943797404667
0.5,1.0,370.6512910922157
0.5,1.0,529.8316906283712
0.5,1.0,757.3739175895009
0.5,1.0,1082.636733874054
0.5,1.0,1547.5873545578909
0.5,1.0,2212.21629107045
0.5,1.0,3162.2776601683795
0.5754413442442025,1.0,0.1
0.5754413442442025,1.0,0.14294613383568447
0.5754413442442025,1.0,0.20433597178569418
0.5754413442442025,1.0,0.29209037170322494
0.5754413442442025,1.0,0.41753189365604015
0.5754413442442025,1.0,0.5968456995122309
0.5754413442442025,1.0,0.853167852417281
0.5754413442442025,1.0,1.2195704601594415
0.5754413442442025,1.0,1.743328822199988
0.5754413442442025,1.0,2.492021151378057
0.5754413442442025,1.0,3.562247890262442
0.5754413442442025,1.0,5.092095636773397
0.5754413442442025,1.0,7.278953843983154
0.5754413442442025,1.0,10.404983103657854
0.5754413442442025,1.0,14.873521072935118
0.5754413442442025,1.0,21.261123338996555
0.5754413442442025,1.0,30.39195382313198
0.5754413442442025,1.0,43.44412298729368
0.5754413442442025,1.0,62.10169418915616
0.5754413442442025,1.0,88.7719708898587
0.5754413442442025,1.0,126.89610031679221
0.5754413442442025,1.0,181.3930693911063
0.5754413442442025,1.0,259.2943797404667
0.5754413442442025,1.0,370.6512910922157
0.5754413442442025,1.0,529.8316906283712
0.5754413442442025,1.0,757.3739175895009
0.5754413442442025,1.0,1082.636733874054
0.5754413442442025,1.0,1547.5873545578909
0.5754413442442025,1.0,2212.21629107045
0.5754413442442025,1.0,3162.2776601683795
0.6622654813311494,1.0,0.1
0.6622654813311494,1.0,0.14294613383568447
0.6622654813311494,1.0,0.20433597178569418
0.6622654813311494,1.0,0.29209037170322494
0.6622654813311494,1.0,0.41753189365604015
0.6622654813311494,1.0,0.5968456995122309
0.6622654813311494,1.0,0.853167852417281
0.6622654813311494,1.0,1.2195704601594415
0.6622654813311494,1.0,1.743328822199988
0.6622654813311494,1.0,2.492021151378057
0.6622654813311494,1.0,3.562247890262442
0.6622654813311494,1.0,5.092095636773397
0.6622654813311494,1.0,7.278953843983154
0.6622654813311494,1.0,10.404983103657854
0.6622654813311494,1.0,14.873521072935118
0.6622654813311494,1.0,21.261123338996555
0.6622654813311494,1.0,30.39195382313198
0.6622654813311494,1.0,43.44412298729368
0.6622654813311494,1.0,62.10169418915616
0.6622654813311494,1.0,88.7719708898587
0.6622654813311494,1.0,126.89610031679221
0.6622654813311494,1.0,181.3930693911063
0.6622654813311494,1.0,259.2943797404667
0.6622654813311494,1.0,370.6512910922157
0.6622654813311494,1.0,529.8316906283712
0.6622654813311494,1.0,757.3739175895009
0.6622654813311494,1.0,1082.636733874054
0.6622654813311494,1.0,1547.5873545578909
0.6622654813311494,1.0,2212.21629107045
0.6622654813311494,1.0,3162.2776601683795
0.7621898776474607,1.0,0.1
0.7621898776474607,1.0,0.14294613383568447
0.7621898776474607,1.0,0.20433597178569418
0.7621898776474607,1.0,0.29209037170322494
0.7621898776474607,1.0,0.41753189365604015
0.7621898776474607,1.0,0.5968456995122309
0.7621898776474607,1.0,0.853167852417281
0.7621898776474607,1.0,1.2195704601594415
0.7621898776474607,1.0,1.743328822199988
0.7621898776474607,1.0,2.492021151378057
0.7621898776474607,1.0,3.562247890262442
0.7621898776474607,1.0,5.092095636773397
0.7621898776474607,1.0,7.278953843983154
0.7621898776474607,1.0,10.404983103657854
0.7621898776474607,1.0,14.873521072935118
0.7621898776474607,1.0,21.261123338996555
0.7621898776474607,1.0,30.39195382313198
0.7621898776474607,1.0,43.44412298729368
0.7621898776474607,1.0,62.10169418915616
0.7621898776474607,1.0,88.7719708898587
0.7621898776474607,1.0,126.89610031679221
0.7621898776474607,1.0,181.3930693911063
0.7621898776474607,1.0,259.2943797404667
0.7621898776474607,1.0,370.6512910922157
0.7621898776474607,1.0,529.8316906283712
0.7621898776474607,1.0,757.3739175895009
0.7621898776474607,1.0,1082.636733874054
0.7621898776474607,1.0,1547.5873545578909
0.7621898776474607,1.0,2212.21629107045
0.7621898776474607,1.0,3162.2776601683795
0.8771911355255578,1.0,0.1
0.8771911355255578,1.0,0.14294613383568447
0.8771911355255578,1.0,0.20433597178569418
0.8771911355255578,1.0,0.29209037170322494
0.8771911355255578,1.0,0.41753189365604015
0.8771911355255578,1.0,0.5968456995122309
0.8771911355255578,1.0,0.853167852417281
0.8771911355255578,1.0,1.2195704601594415
0.8771911355255578,1.0,1.743328822199988
0.8771911355255578,1.0,2.492021151378057
0.8771911355255578,1.0,3.562247890262442
0.8771911355255578,1.0,5.092095636773397
0.8771911355255578,1.0,7.278953843983154
0.8771911355255578,1.0,10.404983103657854
0.8771911355255578,1.0,14.873521072935118
0.8771911355255578,1.0,21.261123338996555
0.8771911355255578,1.0,30.39195382313198
0.8771911355255578,1.0,43.44412298729368
0.8771911355255578,1.0,62.10169418915616
0.8771911355255578,1.0,88.7719708898587
0.8771911355255578,1.0,126.89610031679221
0.8771911355255578,1.0,181.3930693911063
0.8771911355255578,1.0,259.2943797404667
0.8771911355255578,1.0,370.6512910922157
0.8771911355255578,1.0,529.8316906283712
0.8771911355255578,1.0,757.3739175895009
0.8771911355255578,1.0,1082.636733874054
0.8771911355255578,1.0,1547.5873545578909
0.8771911355255578,1.0,2212.21629107045
0.8771911355255578,1.0,3162.2776601683795
1.0095440923718508,1.0,0.1
1.0095440923718508,1.0,0.14294613383568447
1.0095440923718508,1.0,0.20433597178569418
1.0095440923718508,1.0,0.29209037170322494
1.0095440923718508,1.0,0.41753189365604015
1.0095440923718508,1.0,0.5968456995122309
1.0095440923718508,1.0,0.853167852417281
1.0095440923718508,1.0,1.2195704601594415
1.0095440923718508,1.0,1.743328822199988
1.0095440923718508,1.0,2.492021151378057
1.0095440923718508,1.0,3.562247890262442
1.0095440923718508,1.0,5.092095636773397
1.0095440923718508,1.0,7.278953843983154
1.0095440923718508,1.0,10.404983103657854
