initial_z,Zbase,new_Z,initial_mass
0.000142,0.000142,0.000142,0.5
0.000142,0.000142,0.000142,0.5108124575
0.000142,0.000142,0.000142,0.5218587334
0.000142,0.000142,0.000142,0.5331438841
0.000142,0.000142,0.000142,0.5446730752
0.000142,0.000142,0.000142,0.5564515841
0.000142,0.000142,0.000142,0.5684848023
0.000142,0.000142,0.000142,0.5807782377
0.000142,0.000142,0.000142,0.5933375177
0.000142,0.000142,0.000142,0.606168391
0.000142,0.000142,0.000142,0.6192767309
0.000142,0.000142,0.000142,0.6326685375
0.000142,0.000142,0.000142,0.6463499408
0.000142,0.000142,0.000142,0.6603272033
0.000142,0.000142,0.000142,0.6746067229
0.000142,0.000142,0.000142,0.6891950359
0.000142,0.000142,0.000142,0.7040988199
0.000142,0.000142,0.000142,0.7193248969
0.000142,0.000142,0.000142,0.7348802366
0.000142,0.000142,0.000142,0.7507719592
0.000142,0.000142,0.000142,0.7670073389
0.000142,0.000142,0.000142,0.7835938074
0.000142,0.000142,0.000142,0.8005389568
0.000142,0.000142,0.000142,0.8178505436
0.000142,0.000142,0.000142,0.835536492
0.000142,0.000142,0.000142,0.8536048975
0.000142,0.000142,0.000142,0.8720640308
0.000142,0.000142,0.000142,0.8909223413
0.000142,0.000142,0.000142,0.9101884611
0.000142,0.000142,0.000142,0.9298712091
0.000142,0.000142,0.000142,0.9499795949
0.000142,0.000142,0.000142,0.9705228228
0.000142,0.000142,0.000142,0.9915102963
0.000142,0.000142,0.000142,1.012951622
0.000142,0.000142,0.000142,1.0348566147
0.000142,0.000142,0.000142,1.0572353009
0.000142,0.000142,0.000142,1.0800979243
0.000142,0.000142,0.000142,1.10345495
0.000142,0.000142,0.000142,1.1273170694
0.000142,0.000142,0.000142,1.1516952051
0.000142,0.000142,0.000142,1.1766005159
0.000142,0.000142,0.000142,1.202044402
0.000142,0.000142,0.000142,1.2280385099
0.000142,0.000142,0.000142,1.2545947382
0.000142,0.000142,0.000142,1.2817252426
0.000142,0.000142,0.000142,1.3094424419
0.000142,0.000142,0.000142,1.3377590233
0.000142,0.000142,0.000142,1.3666879483
0.000142,0.000142,0.000142,1.3962424589
0.000142,0.000142,0.000142,1.4264360833
0.000142,0.000142,0.000142,1.4572826422
0.000142,0.000142,0.000142,1.4887962554
