initial_z,Zbase,m1,m2,initial_period_in_days
0.00284,0.00284,39.8711889633,37.8776295151,3727.5937203149
0.00284,0.00284,39.8711889633,37.8776295151,5179.4746792312
0.00284,0.00284,39.8711889633,39.4724770737,0.1
0.00284,0.00284,39.8711889633,39.4724770737,0.1389495494
0.00284,0.00284,39.8711889633,39.4724770737,0.1930697729
0.00284,0.00284,39.8711889633,39.4724770737,0.2682695795
0.00284,0.00284,39.8711889633,39.4724770737,0.372759372
0.00284,0.00284,39.8711889633,39.4724770737,0.5179474679
0.00284,0.00284,39.8711889633,39.4724770737,0.719685673
0.00284,0.00284,39.8711889633,39.4724770737,1.0
0.00284,0.00284,39.8711889633,39.4724770737,1.3894954944
0.00284,0.00284,39.8711889633,39.4724770737,1.9306977289
0.00284,0.00284,39.8711889633,39.4724770737,2.6826957953
0.00284,0.00284,39.8711889633,39.4724770737,3.7275937203
0.00284,0.00284,39.8711889633,39.4724770737,5.1794746792
0.00284,0.00284,39.8711889633,39.4724770737,7.19685673
0.00284,0.00284,39.8711889633,39.4724770737,10.0
0.00284,0.00284,39.8711889633,39.4724770737,13.8949549437
0.00284,0.00284,39.8711889633,39.4724770737,19.3069772888
0.00284,0.00284,39.8711889633,39.4724770737,26.8269579528
0.00284,0.00284,39.8711889633,39.4724770737,37.2759372031
0.00284,0.00284,39.8711889633,39.4724770737,51.7947467923
0.00284,0.00284,39.8711889633,39.4724770737,71.9685673001
0.00284,0.00284,39.8711889633,39.4724770737,100.0
0.00284,0.00284,39.8711889633,39.4724770737,138.9495494373
0.00284,0.00284,39.8711889633,39.4724770737,193.0697728883
0.00284,0.00284,39.8711889633,39.4724770737,268.269579528
0.00284,0.00284,39.8711889633,39.4724770737,372.7593720315
0.00284,0.00284,39.8711889633,39.4724770737,517.9474679231
0.00284,0.00284,39.8711889633,39.4724770737,719.6856730012
0.00284,0.00284,39.8711889633,39.4724770737,1000.0
0.00284,0.00284,39.8711889633,39.4724770737,1389.4954943731
0.00284,0.00284,39.8711889633,39.4724770737,1930.6977288832
0.00284,0.00284,39.8711889633,39.4724770737,2682.6957952797
0.00284,0.00284,39.8711889633,39.4724770737,3727.5937203149
0.00284,0.00284,39.8711889633,39.4724770737,5179.4746792312
0.00284,0.00284,44.7744159675,2.2387207984,0.1
0.00284,0.00284,44.7744159675,2.2387207984,0.1389495494
0.00284,0.00284,44.7744159675,2.2387207984,0.1930697729
0.00284,0.00284,44.7744159675,2.2387207984,0.2682695795
